id,source,requirement,domain,phase,kind,status,evidence
FIN-05,PRD §26.4,Duplicate posting command returns original result,finance,4,FINANCIAL,PLANNED,
FIN-06,PRD §26.4,Concurrent number generation and posting remain unique,finance,4,FINANCIAL,PLANNED,
FIN-07,PRD §26.4,Profile summary versus payment detail reconciliation warning,finance,4,FINANCIAL,PLANNED,
PERF-01,PRD §25.1,Production API availability 99.9% monthly,platform,0-7,NFR,PLANNED,
PERF-02,PRD §25.1,Read p95 <= 500 ms server time (internal budget 120 ms for indexed lists),platform,0-7,NFR,PLANNED,
PERF-03,PRD §25.1,Mutation p95 <= 800 ms (internal budget 250 ms),platform,0-7,NFR,PLANNED,
PERF-04,PRD §25.1,Critical async start <= 5 s,platform,0-7,NFR,PLANNED,
PERF-05,PRD §25.1,Permission revocation propagation <= 60 s to derived stores; immediate on source API,platform,0-7,NFR,PLANNED,
PERF-06,PRD §25.1,RPO <= 15 minutes,platform,0-7,NFR,PLANNED,
PERF-07,PRD §25.1,RTO <= 4 hours,platform,0-7,NFR,PLANNED,
PERF-08,PRD §25.1,Cross-tenant leakage: zero tolerance,platform,0-7,NFR,PLANNED,
PERF-09,PRD §25.1,Zero open P0/P1 defects at release,platform,0-7,NFR,PLANNED,
P0-01,PRD §27 Phase 0,"Monorepo, lint/type/test/CI conventions",foundation,0,FEATURE,PLANNED,
P0-02,PRD §27 Phase 0,Membership/security-stamp role resolution replaces stale token roles,foundation,0,FEATURE,PLANNED,
P0-03,PRD §27 Phase 0,Company Admin separated from Owner authority,foundation,0,FEATURE,PLANNED,
P0-04,PRD §27 Phase 0,Cross-tenant nested-write validation and public IDOR closed,foundation,0,FEATURE,PLANNED,
P0-05,PRD §27 Phase 0,Server-side approval authorization enforced,foundation,0,FEATURE,PLANNED,
P0-06,PRD §27 Phase 0,Money stored as Decimal with explicit currency,foundation,0,FEATURE,PLANNED,
P0-07,PRD §27 Phase 0,"PostgreSQL schemas, RLS, indexes, audit, outbox, jobs and object storage established",foundation,0,FEATURE,PLANNED,
P0-08,PRD §27 Phase 0,Negative isolation and concurrency harness,foundation,0,FEATURE,PLANNED,
P1-01,PRD §27 Phase 1,Company Web and Platform Admin separated,"foundation,identity,authorization,organization,projects,notifications",1,FEATURE,PLANNED,
P1-02,PRD §27 Phase 1,"Identity, sessions, MFA, invitations and recovery","foundation,identity,authorization,organization,projects,notifications",1,FEATURE,PLANNED,
P1-03,PRD §27 Phase 1,Tenant/company context and policy engine,"foundation,identity,authorization,organization,projects,notifications",1,FEATURE,PLANNED,
P1-04,PRD §27 Phase 1,"Company lifecycle, commercial metadata and activation","foundation,identity,authorization,organization,projects,notifications",1,FEATURE,PLANNED,
P1-05,PRD §27 Phase 1,Legal versions and acceptance,"foundation,identity,authorization,organization,projects,notifications",1,FEATURE,PLANNED,
P1-06,PRD §27 Phase 1,"Organization, departments, memberships and Owner safeguards","foundation,identity,authorization,organization,projects,notifications",1,FEATURE,PLANNED,
P1-07,PRD §27 Phase 1,Guided onboarding,"foundation,identity,authorization,organization,projects,notifications",1,FEATURE,PLANNED,
P1-08,PRD §27 Phase 1,Protected template/version system,"foundation,identity,authorization,organization,projects,notifications",1,FEATURE,PLANNED,
P1-09,PRD §27 Phase 1,First project provisioning,"foundation,identity,authorization,organization,projects,notifications",1,FEATURE,PLANNED,
P1-10,PRD §27 Phase 1,"Audit, notification foundation, Help Center and localization","foundation,identity,authorization,organization,projects,notifications",1,FEATURE,PLANNED,
P2-01,PRD §27 Phase 2,Project lifecycle/team/access,"projects,project-core,tasks",2,FEATURE,PLANNED,
P2-02,PRD §27 Phase 2,Physical hierarchy and WBS,"projects,project-core,tasks",2,FEATURE,PLANNED,
P2-03,PRD §27 Phase 2,"Tasks, contributors/watchers, checklists and comments","projects,project-core,tasks",2,FEATURE,PLANNED,
P2-04,PRD §27 Phase 2,Milestones/dependencies/calendars,"projects,project-core,tasks",2,FEATURE,PLANNED,
P2-05,PRD §27 Phase 2,Assisted schedule preview/apply,"projects,project-core,tasks",2,FEATURE,PLANNED,
P2-06,PRD §27 Phase 2,"Progress rollups, health and baselines","projects,project-core,tasks",2,FEATURE,PLANNED,
P2-07,PRD §27 Phase 2,"Saved views, imports/exports and Project Activity","projects,project-core,tasks",2,FEATURE,PLANNED,
P3-01,PRD §27 Phase 3,Object-storage production hardening,"documents,design-control,site-operations,qaqc,hse",3,FEATURE,PLANNED,
P3-02,PRD §27 Phase 3,Documents/revisions/transmittals,"documents,design-control,site-operations,qaqc,hse",3,FEATURE,PLANNED,
P3-03,PRD §27 Phase 3,RFIs and submittals,"documents,design-control,site-operations,qaqc,hse",3,FEATURE,PLANNED,
P3-04,PRD §27 Phase 3,Design changes and variations foundation,"documents,design-control,site-operations,qaqc,hse",3,FEATURE,PLANNED,
P3-05,PRD §27 Phase 3,"Daily site reports, workforce/equipment/material evidence","documents,design-control,site-operations,qaqc,hse",3,FEATURE,PLANNED,
P3-06,PRD §27 Phase 3,QA/QC inspections/corrective actions,"documents,design-control,site-operations,qaqc,hse",3,FEATURE,PLANNED,
P3-07,PRD §27 Phase 3,HSE incidents/inspections/toolbox talks,"documents,design-control,site-operations,qaqc,hse",3,FEATURE,PLANNED,
P4-01,PRD §27 Phase 4,BOQ/cost codes/budgets,"finance,contracts,procurement,inventory,work-progress",4,FEATURE,PLANNED,
P4-02,PRD §27 Phase 4,Contracts and versions,"finance,contracts,procurement,inventory,work-progress",4,FEATURE,PLANNED,
P4-03,PRD §27 Phase 4,Procurement/RFQ/quotation/PO,"finance,contracts,procurement,inventory,work-progress",4,FEATURE,PLANNED,
P4-04,PRD §27 Phase 4,Inventory/delivery/goods receipt/stock movement,"finance,contracts,procurement,inventory,work-progress",4,FEATURE,PLANNED,
P4-05,PRD §27 Phase 4,"Finance invoices, payments, allocations, retention, advances and forecasts","finance,contracts,procurement,inventory,work-progress",4,FEATURE,PLANNED,
P4-06,PRD §27 Phase 4,Cross-domain reconciliation and permission-safe dashboards,"finance,contracts,procurement,inventory,work-progress",4,FEATURE,PLANNED,
P5-01,PRD §27 Phase 5,CRM/Sales/Clients/Units,"crm,hr,site-operations,work-progress,portals,network",5,FEATURE,PLANNED,
P5-02,PRD §27 Phase 5,Full HR operations,"crm,hr,site-operations,work-progress,portals,network",5,FEATURE,PLANNED,
P5-03,PRD §27 Phase 5,Assets/equipment/maintenance,"crm,hr,site-operations,work-progress,portals,network",5,FEATURE,PLANNED,
P5-04,PRD §27 Phase 5,Work Progress and Handover,"crm,hr,site-operations,work-progress,portals,network",5,FEATURE,PLANNED,
P5-05,PRD §27 Phase 5,Client and External Partner portals,"crm,hr,site-operations,work-progress,portals,network",5,FEATURE,PLANNED,
P5-06,PRD §27 Phase 5,Formal correspondence and external actions,"crm,hr,site-operations,work-progress,portals,network",5,FEATURE,PLANNED,
P6-01,PRD §27 Phase 6,Company public profiles and verification,"network,jobs,tenders",6,FEATURE,PLANNED,
P6-02,PRD §27 Phase 6,Company discovery and connections,"network,jobs,tenders",6,FEATURE,PLANNED,
P6-03,PRD §27 Phase 6,Verified project experience,"network,jobs,tenders",6,FEATURE,PLANNED,
P6-04,PRD §27 Phase 6,Professional profiles/connections/messaging,"network,jobs,tenders",6,FEATURE,PLANNED,
P6-05,PRD §27 Phase 6,"Jobs, applications and Talent Pool","network,jobs,tenders",6,FEATURE,PLANNED,
P6-06,PRD §27 Phase 6,Tender Marketplace and multi-round bids,"network,jobs,tenders",6,FEATURE,PLANNED,
P7-01,PRD §27 Phase 7,Reporting warehouse and advanced analytics,"reporting,foundation",7,FEATURE,PLANNED,
P7-02,PRD §27 Phase 7,Dedicated enterprise databases/regions,"reporting,foundation",7,FEATURE,PLANNED,
P7-03,PRD §27 Phase 7,Joint Venture scopes,"reporting,foundation",7,FEATURE,PLANNED,
P7-04,PRD §27 Phase 7,BIM/3D Digital Twin links,"reporting,foundation",7,FEATURE,PLANNED,
P7-05,PRD §27 Phase 7,External calendar/accounting/storage/e-signature adapters,"reporting,foundation",7,FEATURE,PLANNED,
P7-06,PRD §27 Phase 7,Native mobile/selective offline after separate sync PRD,"reporting,foundation",7,FEATURE,PLANNED,
P7-07,PRD §27 Phase 7,AI assistance after permission-safe data contracts exist,"reporting,foundation",7,FEATURE,PLANNED,
